period,region,service_group,service,cancel_topic,payment_method,order_type,cancel_type,cancel_by,total,PCT90_create_to_board,PCT90_order_to_board,PCT90_create_to_accept,PCT90_order_to_accept,PCT90_create_to_cancel,PCT90_order_to_cancel,PCT90_accept_to_cancel,PCT90_accept_to_board,PCT90_board_to_cancel
"March 1, 2026",HAN,2Ws,4H,Cancel by admin,ALL,not_idle,after_accept,admin,1,,42.2,,11.22,48.47,48.47,37.25,30.98,6.27
"March 1, 2026",HAN,2Ws,4H,Cancel by admin,ALL,idle,after_accept,admin,1,,,,82.65,601.77,110.4,27.75,,
"March 1, 2026",HAN,2Ws,4H,Cancel by admin,ALL,not_idle,after_accept,admin,5,,257.8,,186.48,262.32,262.32,163.75,104.72,116.2
"March 1, 2026",HAN,2Ws,4H,Cancel by admin,ALL,idle,after_accept,admin,2,,197.27,,171.47,906.73,226.05,101.18,70.73,30.45
"March 1, 2026",HAN,2Ws,4H,Cancel by admin,ALL,not_idle,after_accept,admin,7,,259.15,,214.13,296.58,296.58,129.57,60.12,7.25
"March 1, 2026",HAN,2Ws,4H,Cancel by admin,ALL,not_idle,after_accept,admin,3,,273.57,,102.87,481.55,481.55,384.07,176.08,207.98
"March 1, 2026",HAN,2Ws,4H,Cancel by admin,ALL,idle,after_accept,admin,1,,120.43,,46.02,485.8,131.83,85.82,74.42,11.4
"March 1, 2026",HAN,2Ws,4H,Cancel by admin,ALL,not_idle,after_accept,admin,1,,227.27,,124.22,251.02,251.02,126.8,103.05,23.75
"March 1, 2026",HAN,2Ws,4H,Cancel by partner,ALL,not_idle,before_accept,user,1,,,,,12.08,12.08,,,
"March 1, 2026",HAN,2Ws,4H,Cancel by user no reason,ALL,not_idle,before_accept,user,1,,,,,164.38,164.38,,,
"March 1, 2026",HAN,2Ws,4H,Cancel by user no reason,ALL,idle,after_accept,supplier,2,,,256.33,150.8,336.17,193.73,42.93,,
"March 1, 2026",HAN,2Ws,4H,Cancel by user no reason,ALL,not_idle,after_accept,supplier,5,,272.68,,231.58,301.57,301.57,69.98,123.72,28.88
"March 1, 2026",HAN,2Ws,4H,Cancel by user no reason,ALL,not_idle,before_accept,user,1,,,,,83.73,83.73,,,
"March 1, 2026",HAN,2Ws,4H,Cancel by user no reason,ALL,idle,after_accept,supplier,4,,316.12,,230.53,965.77,241.45,10.92,85.58,
"March 1, 2026",HAN,2Ws,4H,Cancel by user no reason,ALL,not_idle,after_accept,supplier,12,,371.97,,247.57,327.08,327.08,109.62,175.7,5.55
"March 1, 2026",HAN,2Ws,4H,Cancel by user no reason,ALL,not_idle,after_accept,user,1,,,,1.73,1.77,1.77,0.033,,
"March 1, 2026",HAN,2Ws,4H,Cancel by user no reason,ALL,not_idle,before_accept,user,1,,,,,38.98,38.98,,,
"March 1, 2026",HAN,2Ws,4H,Cancel by user no reason,ALL,idle,after_accept,supplier,1,,240.7,,151.88,"1,039.95",178.95,27.07,88.82,
"March 1, 2026",HAN,2Ws,4H,Cannot contact user,ALL,not_idle,after_accept,supplier,1,,,,227.75,281.5,281.5,53.75,,
"March 1, 2026",HAN,2Ws,4H,Cannot contact user,ALL,not_idle,after_accept,supplier,1,,278.57,,175.07,176.38,176.38,1.32,103.5,
"March 1, 2026",HAN,2Ws,4H,Cannot contact user,ALL,idle,after_accept,admin,1,,,604.02,,618.68,,14.67,,
"March 1, 2026",HAN,2Ws,4H,Cannot contact user,ALL,idle,after_accept,supplier,1,,,45.48,,53.27,,7.78,,
"March 1, 2026",HAN,2Ws,4H,Cannot contact user,ALL,not_idle,after_accept,supplier,6,,245.15,,174.45,175.5,175.5,36.62,168.83,
"March 1, 2026",HAN,2Ws,4H,Cannot contact user,ALL,idle,after_accept,supplier,2,,21.4,208.18,4.67,218.73,5.12,2.12,26.83,
"March 1, 2026",HAN,2Ws,4H,Cannot contact user,ALL,not_idle,after_accept,supplier,3,,371.97,,194.43,248.53,248.53,54.1,177.53,
"March 1, 2026",HAN,2Ws,4H,Cannot contact user,ALL,idle,after_accept,user,1,,,37.35,,44.23,,6.88,,
"March 1, 2026",HAN,2Ws,4H,Driver asked to cancel,ALL,not_idle,after_accept,admin,1,,29.28,,3.13,38.2,38.2,35.07,26.15,8.92
"March 1, 2026",HAN,2Ws,4H,Driver asked to cancel,ALL,not_idle,after_accept,admin,1,,,,189.22,277.48,277.48,88.27,,
